ra,dec,vlos,vlos_err,has_vlos,vlos_src,x_pc,y_pc,r_pc,preprocess_mode
151.73458333333332,16.18347222222222,-97.2,3.6,True,SIMON,-12.387932080533067,40.77370324593732,4.751769,dwarf
151.73920833333332,15.968333333333334,-250.5,5.2,True,SIMON,-10.603992717614164,-45.58858183850989,5.219158,dwarf
151.73925,16.05,9.300000000000011,4.2,True,SIMON,-10.587921191814143,-12.805480721882978,1.852779,dwarf
151.73983333333334,16.29302777777778,-227.7,2.7,True,SIMON,-10.362919830731638,84.75212188674625,9.520851,dwarf
151.74008333333333,16.041694444444445,5.300000000000011,5.3,True,SIMON,-10.26649067598059,-16.139544406872652,2.132924,dwarf
151.74075,16.12661111111111,-124.4,2.2,True,SIMON,-10.00934626330786,17.948190325619173,2.291532,dwarf
151.74075,16.12661111111111,-124.9,2.2,True,SIMON,-10.00934626330786,17.948190325619173,2.291532,dwarf
151.742125,16.117055555555556,-21.0,2.3,True,SIMON,-9.478985912172194,14.11234448068116,1.895652,dwarf
151.743875,16.016638888888888,-222.2,2.2,True,SIMON,-8.803981828895237,-26.197489035172104,3.081753,dwarf
151.74391666666668,15.963583333333332,82.5,3.6,True,SIMON,-8.787910303095217,-47.49535404631383,5.385964,dwarf
151.74391666666668,16.23752777777778,-129.6,2.2,True,SIMON,-8.787910303095217,62.472993985037974,7.034769,dwarf
151.745625,15.9145,-73.6,2.5,True,SIMON,-8.128977745628093,-67.1986668602862,7.547758,dwarf
151.745625,15.9145,-73.4,2.3,True,SIMON,-8.128977745628093,-67.1986668602862,7.547758,dwarf
151.74591666666666,16.166555555555554,-228.1,2.4,True,SIMON,-8.01647706508684,33.98291801463588,3.893345,dwarf
151.74624999999997,16.076944444444443,16.19999999999999,6.2,True,SIMON,-7.887904858755383,-1.9892874963297613,0.907097,dwarf
151.7465,16.115222222222222,4.800000000000011,6.8,True,SIMON,-7.791475703994521,13.37639731275625,1.726148,dwarf
151.7465,16.115222222222222,-6.400000000000006,5.7,True,SIMON,-7.791475703994521,13.37639731275625,1.726148,dwarf
151.74733333333333,16.18163888888889,-226.5,2.4,True,SIMON,-7.470045188151154,40.037756078013686,4.541536,dwarf
151.74791666666667,16.067694444444445,-191.6,2.5,True,SIMON,-7.245043827058835,-5.702475479946956,1.028099,dwarf
151.74870833333333,16.202944444444444,-207.2,10.0,True,SIMON,-6.939684837015489,48.59035422646685,5.473152,dwarf
151.749,16.038472222222225,-3.9000000000000057,4.9,True,SIMON,-6.827184156474237,-17.433027308072504,2.087659,dwarf
151.7495833333333,15.857277777777778,-227.4,2.6,True,SIMON,-6.602182795391731,-90.16913907125657,10.081419,dwarf
151.7495833333333,15.857277777777778,-220.7,2.7,True,SIMON,-6.602182795391731,-90.16913907125657,10.081419,dwarf
151.74975,16.153388888888887,-228.8,2.2,True,SIMON,-6.537896692211281,28.69747926317945,3.281967,dwarf
151.74979166666665,16.06908333333333,-35.80000000000001,4.9,True,SIMON,-6.521825166421075,-5.1449397466720175,0.926279,dwarf
151.74979166666665,16.06908333333333,-10.699999999999989,13.0,True,SIMON,-6.521825166421075,-5.1449397466720175,0.926279,dwarf
151.750625,15.848,-330.5,7.5,True,SIMON,-6.200394650577709,-93.89347776953882,10.492597,dwarf
151.7525,15.863388888888888,-142.0,2.2,True,SIMON,-5.4771759899399495,-87.71598184484148,9.800008,dwarf
151.7525,15.863388888888888,-140.1,2.2,True,SIMON,-5.4771759899399495,-87.71598184484148,9.800008,dwarf
151.753,16.102722222222223,-4.099999999999994,10.0,True,SIMON,-5.284317680437855,8.358575713272865,1.102680,dwarf
151.75375,16.06688888888889,9.800000000000011,13.1,True,SIMON,-4.995030216174899,-6.025846205246599,0.872761,dwarf
151.754375,16.081527777777776,9.800000000000011,5.2,True,SIMON,-4.75395732928256,-0.14941957651876114,0.530362,dwarf
151.75558333333333,16.033333333333335,1.1999999999999886,2.7,True,SIMON,-4.287883081317531,-19.49590952119373,2.225892,dwarf
151.75558333333333,16.033333333333335,9.599999999999994,5.1,True,SIMON,-4.287883081317531,-19.49590952119373,2.225892,dwarf
151.75575,16.13191666666667,-99.5,3.4,True,SIMON,-4.223596978146895,20.077976826734623,2.287837,dwarf
